sentencas,nenhum,adm-publica,agricultura-pecuaria-pesca-extrativismo,arte-cultura-religiao,cidades-desenvolvimento-urbano,ciencia-tecnologia-inovacao,ciencias-exatas,ciencias-sociais,comunicacoes,defesa-seguranca,direito-civil,direito-constitucional,direito-consumidor,direito-justica,direito-penal,direitos-humanos-minorias,economia,educacao,energia-recursos-hidricos-minerais,esporte-lazer,estrutura-fundiaria,financas-publicas-orcamento,homenagens-datas-comemorativas,industria-comercio-servicos,meio-ambiente-desenvolvimento-sustentavel,politica-partidos-eleicoes,previdencia-assistencia-social,processo-legislativo-atuacao-parlamentar,relacoes-internacionais-comercio-exterior,saude,trabalho-emprego,turismo,viacao-transporte-mobilidade,impeachment,corrupção,serviço-público,reforma-política,eleição
O que nós vamos dizer à mãe daquela menina de  anos morta quando um menor ateou fogo a um ônibus lotado no Maranhão?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Automóvel, ônibus e avião foram os meios de transporte mais utilizados pelos visitantes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assim, poderá ser atendido o pleito justo e de direito dos senhores e das senhoras.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garantimos o recurso do pré-sal, mas iniciamos também um programa de valorização da educação infantil, segundo disse bem nosso Ministro Henrique Paim, que recebe aqui os meus cumprimentos como Líder do Governo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Também visitamos a construção do shopping popular, financiado pelo Ministério do Turismo, e da rodoviária, em Rio Branco, inaugurada ainda na minha gestão.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Precisamos melhorar a renda desse extrato da população, precisamos propiciar condições para que os jovens continuem no meio rural, precisamos melhorar a infraestrutura, que é responsabilidade do Estado, com fornecimento de energia elétrica de qualidade, telefonia, sinal de Internet, estradas para o escoamento da produção, entre outros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No entanto, aqui não se fala no fim do financiamento empresarial.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Presidente do Supremo Tribunal Federal, Ministro Ricardo Lewandowski, encaminhou, diante do veto, um novo projeto de lei, propondo, teoricamente, reajuste de % para o servidor do Judiciário; e, ao mesmo tempo, pegou carona e apresentou um projeto de lei para aumentar o teto do funcionalismo público.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu liguei para v.exa, mas não obtive êxito.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trata-se de algo concreto ocorrido, envolvendo uma empresa holandesa, cujo processo já tramita no Ministério Público da Holanda, investigando a acusação de que essa empresa holandesa, para contratar negociação de plataformas de petróleo com a PETROBRAS, pagou propina de milhões de reais.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu espero que o bom senso seja recuperado pelos Líderes do PSDB, que eles voltem ao seu esteio de defender a democracia, como historicamente o fazem.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ao fazer qualquer despesa, na Comissão de Orçamento, na Comissão de Finanças e Tributação, na qual estou há muitos anos, é preciso acompanhá-la de uma receita ou de uma transferência de recurso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Não pode mais continuar como está.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Em todo o País há .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nenhum dirigente neste País teve a coragem e a ousadia de ficar do lado da população na defesa da saúde como a Presidente Dilma, que enfrentou inclusive os representantes da corporação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peço a v.exa que autorize a publicação do meu pronunciamento no programa A Voz do Brasil e nos demais órgãos de comunicação desta Casa.. sr Presidente, quero saudar e ao mesmo tempo lamentar o anúncio desse plano de investimentos em infraestrutura de  bilhões de reais.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estamos terminando o semestre e até agora não foi concluída.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É normal que isso aconteça, mas lá não está acontecendo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É o recrudescimento do projeto neoliberal, mais vivo e forte do que nunca, um perigoso alinhamento da direita e de setores reacionários"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A primeira, de Marcos Coimbra, sob o título O tamanho do ódio : Pesquisa recente do Vox Populi aponta: o eleitorado que diz detestar o PT representa % do total.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"São José teve seu início com apenas  casais vindos de Portugal, em  de outubro de , a verdadeira data de sua fundação, mas comemoramos no dia  de março, pois é o dia do santo padroeiro do Município.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Custa em torno de  mil reais uma passagem de ida e volta.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu espero que Deus console a família e os amigos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O que falta é estabelecer a punição para quem agredir esses princípios.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E a gestão do Fundo Penitenciário insiste na construção tradicional, que leva tempo, em que não se sabe quanto custa nem quanto vai durar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No Brasil, temos o Regime Geral, representado pelo INSS, mas temos também o chamado sistema complementar, representado pelos fundos de pensão e previdência aberta, e ainda os regimes próprios, que são os entes previdenciários municipais e estaduais.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Na Faixa , até R$., os juros anuais serão de %.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O paradoxo dessa história é que na votação da redução da maioridade penal diziam que faziam isso de acordo com a vontade da maioria.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esta discussão, este debate que o Partido dos Trabalhadores levanta neste momento da discussão deste PLV diz respeito exatamente à natureza - qual é a natureza?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mas não adianta, o Governo perdeu a credibilidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por isso, é muito importante, sr Presidente, sr e sr Deputados, que esta tribuna seja ocupada para a apresentação de dados, por meio de discursos que tenham qualidade, para não se ficar pura e simplesmente incriminando o Partido dos Trabalhadores.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele enfatiza: Essas pessoas são mais apaixonantes e encantadoras quando, da forma mais desassombrada e destemida, enfrentam e carregam sobre os seus ombros o rótulo de defensores de bandidos"" e são obrigadas a ouvir, quando identificadas como militantes de direitos humanos, chavões fascistas, reacionários, retrógrados e opressivos como: direitos humanos é para bandido"", bandido bom é bandido morto"", adote um bandido"", leve um marginalzinho para casa"", e se um bandido estuprar sua filha?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Era o que tinha a dizer.. sr Presidente, sr e sr Deputados, eu quero registrar que ontem, em Fortaleza, um grupo de pessoas que se manifestava - o que seria normal e com o que até poderíamos concordar - agrediu o nosso companheiro João Pedro Stédile, que foi para a cidade participar de uma atividade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A ofensiva dos empresários do agronegócio e da madeira cresceu nos últimos anos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mas tem coragem para encarcerar a juventude pobre.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Há um projeto pronto nesta Casa, o Projeto de Lei nº ., de , que precisa ser votado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, sr e sr Deputados, Dom Frei Magnus Henrique Lopes e Dom Paulo Cardoso receberam o título de Cidadão Salgueirense na última sexta-feira,  de junho, na Câmara de Vereadores de Salgueiro.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estou confiante, sr Presidente, de que a indicação que faço e que protocolo neste momento, solicitando a doação de ambulâncias, ajudará a solucionar um dos mais sérios problemas enfrentados pelos nossos prefeitos e pelas nossas prefeitas, que é a dificuldade de transporte de pacientes graves até um centro médico com mais recursos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É o único.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O setor rodoviário hoje está prejudicado em razão dessa sistemática.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naturalmente, esta Presidência exalta a atuação dos primórdios do seu trabalho ainda como aluno da URCA, a Universidade Regional do Cariri, que significou os primeiros instantes dessa vocação política que v.exa tem sabido encarnar admiravelmente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essa retomada de terras e a falta de uma decisão do Estado brasileiro sobre a demarcação das áreas indígenas têm gerado conflitos, e esses conflitos, entre outras desgraças, têm causado mortes de indígenas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, sr e sr Deputados, em abril, uma japonesa faleceu com  anos de idade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós não podemos deixar que a crise se agrave mais ainda.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E, neste momento, nós estamos tirando referência de preço, estamos tirando a possibilidade da mediação no leilão e na licitação.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não somos, vamos demonstrar na Justiça.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós vamos ter de aumentar para , para  anos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durante anos e anos, o PT demonizou as privatizações, teve uma posição anacrônica, atrasada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acontece que as medidas recentes do Governo põem a perder os poucos avanços.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofensa?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Como o Partido dos Trabalhadores - a Presidente é do Partido dos Trabalhadores - vota no sentido de não haver reajuste para uma categoria?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Diferentemente daqueles que jogam para a torcida e manipulam um sentimento honesto da população de insegurança, vendendo a ilusão de que a redução da maioridade penal reduzirá a violência, queremos deixar claro que, independentemente de pesquisas, nosso posicionamento contrário ao financiamento empresarial de campanha está baseado na convicção de que esse sistema facilita a corrupção e fere a democracia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É essencial simplificar e diminuir a carga tributária de um setor econômico tão sofrido e tão sacrificado, que dá tantos empregos e faz parte da cultura mineira.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"É inaceitável que o Município, onde vive o cidadão, onde ele demanda serviços da saúde, da educação, da infraestrutura, seja sempre penalizado com a maior carga de demanda e a menor receita.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No Rio de Janeiro e em São Paulo, em , não foi diferente: enfrentaram a polícia com paus e pedras, quebraram vitrines de lojas e bancos - que consideram símbolos do capitalismo -, fizeram barricadas incendiando lixeiras, destruíram veículos - principalmente carros da polícia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A minha análise parte de alguns pressupostos que certamente não são majoritários no PT, e isso ficou refletido na aprovação das teses da maioria e na rejeição das principais emendas do bloco minoritário, interno ao Partido, composto pela Mensagem e outros grupos internos do PT.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Felipe vem de uma família tradicional do Piauí, do ponto de vista da ética, da moral, do aspecto religioso.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Todos os bueiros estão sendo feitos, e, logo, aquela importante BR, que liga Porto Velho à cidade de Guajará-Mirim, vai receber asfalto novo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uma das características da sistemática de exploração desse petróleo é exatamente o chamado excedente do petróleo, que é entregue pelas empresas ou pelos consórcios formados às empresas de sociedade específica.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Inclusive está pautada aqui, na Ordem do Dia, uma reforma política infraconstitucional antes de terminar a votação da parte constitucional da reforma política; ou seja, só se votou o texto global, os destaques ainda não foram votados, e nós vamos votar inclusive itens relativos ao financiamento, ao teto de campanha, e assim por diante.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assiste razão ao Senador Pimentel, mas não neste início de sessão, porque, como determina o Regimento, temos que dar o prazo para que efetivamente possa ser aberto o painel, o que o Presidente Waldir Maranhão já fez.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, peço a v.exa que meu pronunciamento seja divulgado nos Anais da Casa e no programa A Voz do Brasil Muito obrigado, nobre Deputado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Em razão da iniciativa, o Espírito Santo recebeu o Prêmio Innovare, edição de , que se destina a identificar, premiar e disseminar práticas inovadoras realizadas por magistrados, membros do Ministério Público estadual e federal, defensores públicos e advogados públicos e privados de todo o Brasil, que estejam aumentando a qualidade da prestação jurisdicional e contribuindo com a modernização da Justiça brasileira.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muitas vezes as proposições do Senado tramitam com maior rapidez.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu quero, portanto, respeitando a posição de v.exa, deixar consignado... Lógico.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O que está salvando o Brasil são eles.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu digo capciosa porque foi feita num gabinete em que quatro pessoas decidiram: dois representantes de ONGs, um Ministro e um Deputado Federal.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esse crime ocorreu logo após a execução do líder de um dos principais grupos de extermínio de Belém, Antônio Marcos Figueiredo, o Cabo Pet, da Polícia Militar do Estado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pode parecer que não haverá mais espaço na televisão, no rádio.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Estado brasileiro tem o papel fundamental de promover a ressocialização dessas pessoas e sua reintegração à sociedade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por isso, nós defendemos essas duas condições.. Obrigado, sr Presidente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Por essa exata razão, a temática foi objeto de vários documentos internacionais, como a Convenção das Nações Unidas contra a Corrupção, a Convenção Interamericana de Combate à Corrupção e a Convenção sobre o Combate à Corrupção de Funcionários Públicos Estrangeiros em Transações Comerciais Internacionais da Organização para a Cooperação e Desenvolvimento Econômico - OCDE.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eu gostaria que os demais Parlamentares respeitassem a palavra da Deputada Moema Gramacho.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estamos rompendo o ciclo da pobreza e reduzindo a vulnerabilidade social das famílias.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Esse é que é o problema, sr Presidente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu digo aos meus amigos: uma Presidente que foi eleita com mais de % da população a favor do seu mandato e que hoje tem seu Governo desaprovado por  em cada  pessoas no Brasil, essa pessoa já está caindo; não só caindo, mas despencando.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não por acaso, ela ocorre num momento de crise, quando todos os partidos com representação na Câmara, com exceção do PSOL, receberam dinheiro das empresas envolvidas na Operação Lava-Jato.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abracemos a Copa como uma oportunidade de mostrar ao mundo a alegria de nosso povo!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para que o Maranhão avance precisamos agregar riquezas ao Estado, aumentar a atividade produtiva para promover a justiça social"" , disse o Governador Flávio Dino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peço que conclua, Deputado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quero lembrar Chico Mendes e lideranças de Rondônia que não chegaram a ver o nosso partido no poder, como o Vereador Jasmo, que foi assassinado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mas para a agricultura essa ação vai além dessa premissa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juntamente com a Deputada Moema Gramacho, fomos à Presidência da Caixa Econômica Federal, que ressaltou a importância do apoio que nós estamos dando em favor dos lotéricos para que estejam realmente respaldados, porque esse realmente não é o seu papel.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Com certeza, nós vamos salvar essas grandes obras começadas pelo Presidente Lula e continuadas, ainda que de forma pálida, pela Presidenta Dilma.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acompanhamos os escândalos da Operação Lava-Jato, as delações premiadas que descortinam para todo o País como o mecanismo de doação legal de empresas a partidos e candidatos foi usado para maquiar o dinheiro de propina oriundo de contratos superfaturados.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Então, parabéns a vocês, antecipados!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Depois, não faz sentido a urgência.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- volta a perguntar o nosso Presidente Lula.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ele me empurrou, eu me reequilibrei, colocando os braços para trás; e ele continuou me ofendendo verbalmente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Obrigado, sr Presidente.. sr Presidente, sr e sr Deputados, todos aqueles que me acompanham pelos veículos de comunicação desta Casa, vou aproveitar o tempo da Liderança para fazer alguns comentários sobre o Congresso Nacional do Partido dos Trabalhadores, realizado com muito sucesso, em Salvador, neste final de semana.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Convertido em moeda nacional, esse montante significou uma receita de R$ bilhões para o País, ,% a mais que no mesmo período do ano passado.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suplentes : Ana Perugini, Paulo Pimenta, Valtenir Pereira,  vagas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A rede hospitalar não está dando conta de manter as portas abertas, e nós não poderemos no País enfrentar o colapso, porque nós já não estamos conseguindo garantir o acesso da população à saúde como desejamos, como precisamos e como está garantido na Constituição.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milhões de brasileiros foram resgatados da pobreza.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"O Município tem, no caso da arrecadação do ISS e do IPTU, cada vez mais dificuldades de compor ou recompor suas receitas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antes de mirar em Dilma e no PT, visa-se o vencedor de  e , sem atentar para o fato de que o destino de Lula está nas mãos do governo da presidenta e do partido que ele fundou faz  anos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Como nos lembra um texto publicado pelo Portal Brasil , chegamos a um aumento real de % do salário mínimo na última década.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A doença causa diabetes, que já matou   pessoas nos últimos  anos no México.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essa é uma reivindicação antiga, social, humanitária.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A política do transporte escolar afasta as crianças das escolas, seja pelo tempo gasto em péssimas estradas seja pelos meios de transporte precários.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eu entendo tudo, mas ninguém fez isso com ninguém.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós recebemos do Presidente Eduardo Cunha a designação para presidir essa sessão, momento em que ouvimos vários Parlamentares, de vários partidos, como o Deputado Odorico Monteiro, o Deputado Geraldo Resende, o Deputado Valmir Assunção , do PT da Bahia, o Deputado Lincoln Portela, o Deputado André Moura, o Deputado Zé Silva Todos participaram dessa sessão solene.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estes dados fazem parte do Sistema Presença, uma ferramenta do Ministério da Educação que acompanha o registro da presença às aulas dos beneficiários do Programa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O lema da Frente Parlamentar da Desburocratização é bem simples: muito ajuda quem pouco atrapalha.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"As pessoas com antecedentes pessoais ou familiares de pólipos benignos, câncer de intestino, retocolite ulcerativa, câncer de mama, ovário ou útero devem procurar um médico para orientação sore possíveis formas de prevenção e diagnóstico do câncer de intestino.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Não é à toa que Lula teve que disputar quatro eleições para ganhar, em razão do forte terrorismo que havia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Finalizo citando Goethe: Pensar é mais interessante que saber, mas é menos interessante que olhar"" Solicito ampla divulgação deste pronunciamento nos veículos de comunicação desta Casa e também em A Voz do Brasil , pela importância do evento.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Por isso faço esta belíssima homenagem ao Senador Paulo Paim.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nós vamos votar a favor dos senhores aqui.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existe uma crise institucional estabelecida em nosso País, clara, bem delineada, mas o setor da construção civil é vital para o desenvolvimento do País, e nós precisamos resgatar essa pujança do setor o quanto antes.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós temos que ser transparentes com as pessoas, não podemos aceitar esse tipo de jogo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Com esta medida nós começamos a arrumar a Federação brasileira.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sr Presidente, sr e sr Deputados, não foi uma fatalidade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Daquela vez, já fora de campo, um golaço contra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ao aprovarmos as duas urgências hoje, tanto a do Deputado Marquezelli como a do Deputado Beto Mansur, nós, de hoje para amanhã, vamos produzir um substitutivo dos dois, de tal sorte que possamos atender a uma importante área de atuação na sociedade brasileira, que é a dos lotéricos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nós temos carga tributária de Primeiro Mundo e qualidade no serviço público de Terceiro Mundo, Quarto Mundo ou Quinto Mundo, infelizmente.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isso representa uma inserção muito clara de governos de outros países que têm interesse no pré-sal brasileiro.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"- de votos de vantagem , Flávio Dino para governar o Estado pelos próximos  anos.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Não vamos de  a % em nenhuma parte.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cabe perguntar aos nossos botões, em todo caso, se a chamada democracia partidária ainda se coaduna com as circunstâncias, nem digo da política nacional, mundial é a palavra adequada.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parabéns!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vou votar com os lotéricos porque cada vez mais as pessoas precisam dos seus serviços.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Muito obrigado, Deputado.. sr Presidente, meu colega Heitor Schuch, eu gostaria de me dirigir aos meus colegas Deputados e Deputadas para refletir sobre o momento que nós estamos vivendo em nosso País.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imputabilidade é a capacidade de entendimento e discernimento.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"E além disso a Presidenta Dilma já anunciou, para a semana seguinte, o lançamento do Plano Safra da Agricultura Familiar, que disponibilizará mais de  bilhões de reais para os agricultores familiares brasileiros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Destaquei em meu voto a importância da matéria, ressaltando que políticas afirmativas para as mulheres estão em total consonância com a intenção do legislador - constituinte.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essa posição equivocada vai nos permitir, daqui para frente, colocar o dedo na cara de qualquer um que queira ocupar a tribuna de lá para falar em bolsa empresário.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Portanto, as mulheres, hoje, na composição das nominatas, são alçadas à condição de eleger os homens, e não de eleger a sua própria representação, para que se façam valer o princípio democrático e a luta deste País por igualdade e por liberdade.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Para que o Custo Brasil seja diminuído, para que a infraestrutura tenha os seus gargalos resolvidos, na verdade, só há um remédio: tirar o PT do poder e proporcionar um choque de confiança e credibilidade em alguém, num governo que propicie a profissionalização da máquina pública, o fortalecimento das agências reguladoras e a permanência do marco normativo, legal, para que o investidor possa voltar a ter confiança no Brasil.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Enfim, são avanços que nós temos tido.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
É bom que os jovens venham.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uma coisa puxa a outra!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lá é incompetência plena, é desrespeito à população, é crime contra o direito do consumidor e é descaso com a saúde pública, já que todos os hospitais também têm seus atendimentos prejudicados pela falta d'água.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Almejo uma espiritualidade que contempla e comporta símbolos, mas que essencialmente vê a natureza essencial dos símbolos e do Deus que vai para além deles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ora, se ele fizer alguma coisa errada, vai pagar, como pagam os outros.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A qualidade comprometerá certamente a vida de milhões de brasileiros.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"No mais, sr Presidente, colegas Parlamentares, Deputado Luiz Couto, aqui não há uma questão político-partidária.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hoje, com certeza, vamos votar o Decreto Legislativo nº .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O PSDB foi derrotado em quatro eleições consecutivas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
